Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
474090	0.010425	0.00056068	0.0032179	0.00076894	0.0028194	0.0011931	0.00077977	5.5452e-05	0.00049915	3.5522e-05	-15982165.931
474120	0.01045	0.00055789	0.0032457	0.00075899	0.0023419	0.0011798	0.00076698	5.6834e-05	0.00049492	3.5908e-05	-15982214.882
474150	0.010538	0.00057109	0.0032903	0.00082316	0.002533	0.001193	0.00077042	5.8583e-05	0.00047924	3.5793e-05	-15982408.012
474180	0.010349	0.00057999	0.0032713	0.00083132	0.0023993	0.001192	0.00076251	5.7905e-05	0.00047698	3.6034e-05	-15981874.275
474210	0.010379	0.00058168	0.003245	0.00084512	0.0023256	0.0011974	0.00076856	5.4872e-05	0.00047429	3.3821e-05	-15982265.446
474240	0.010428	0.00058961	0.0034048	0.00086989	0.0024348	0.0012096	0.00077359	5.5427e-05	0.00047012	3.2837e-05	-15982206.776
474270	0.01029	0.00058941	0.0034069	0.00087093	0.0026104	0.001206	0.00077214	5.3967e-05	0.00046853	3.3672e-05	-15982362.533
474300	0.01043	0.00059649	0.0035154	0.00089546	0.0027714	0.0012165	0.00077481	5.3066e-05	0.00046506	2.8926e-05	-15982197.898
474330	0.01036	0.0006005	0.0034047	0.0008994	0.0023827	0.0012117	0.00076601	5.5115e-05	0.00045348	3.1422e-05	-15982110.310
474360	0.010399	0.00060195	0.0031923	0.00091179	0.002432	0.0012114	0.00076468	5.5586e-05	0.00044762	3.2239e-05	-15982458.082
474390	0.010425	0.00060343	0.0031175	0.00092101	0.002506	0.0012109	0.00076483	5.6563e-05	0.00044432	3.3632e-05	-15982371.621
474420	0.010408	0.00060835	0.0031017	0.00088959	0.002608	0.0012086	0.00075802	5.4959e-05	0.00045199	3.0808e-05	-15982302.427
474450	0.010326	0.00060824	0.0032584	0.00087537	0.0025858	0.001217	0.00076756	5.2739e-05	0.00047164	3.8975e-05	-15982132.250
474480	0.0104	0.0006088	0.0031923	0.00087975	0.0023325	0.001207	0.00076001	5.2503e-05	0.00045733	4.4301e-05	-15982536.999
474510	0.01035	0.00060946	0.00318	0.00085449	0.0025203	0.0012074	0.0007594	5.1648e-05	0.00047098	4.3191e-05	-15982484.261
474540	0.010267	0.00060672	0.0031609	0.00088698	0.0024325	0.0012153	0.00076612	5.2499e-05	0.0004557	4.1387e-05	-15982040.846
474570	0.010357	0.00061076	0.0031539	0.00086745	0.0025194	0.0012194	0.00076865	5.276e-05	0.0004706	4.3358e-05	-15982626.900
474600	0.010251	0.00061681	0.003406	0.00086771	0.0020625	0.0012155	0.0007571	5.2621e-05	0.00046798	5.7862e-05	-15982543.668
474630	0.010272	0.00061975	0.0034332	0.00086506	0.0021423	0.0012169	0.00075513	5.2678e-05	0.00046029	6.1803e-05	-15982487.063
474660	0.010401	0.00061552	0.0032696	0.00085745	0.0023607	0.0012143	0.00075468	5.5203e-05	0.00046093	6.1546e-05	-15982379.296
474690	0.010376	0.00061941	0.0031829	0.00084118	0.0024834	0.001217	0.00075544	5.6927e-05	0.00047329	6.7432e-05	-15982348.124
474720	0.010386	0.00061286	0.0033193	0.00081779	0.0023115	0.0012125	0.0007598	5.3599e-05	0.00046898	6.5238e-05	-15982670.808
474750	0.010342	0.00061352	0.0032001	0.0007699	0.002557	0.0012055	0.00074796	5.0041e-05	0.0004745	5.3079e-05	-15982201.464
474780	0.01046	0.0006393	0.0033526	0.00083519	0.0022633	0.0012321	0.00075379	5.1817e-05	0.00045934	6.1173e-05	-15982416.345
474810	0.010395	0.00064517	0.0032364	0.00084502	0.0018542	0.0012373	0.00075593	5.4218e-05	0.00045946	7.8677e-05	-15982561.825
474840	0.010193	0.00065536	0.0030237	0.00083325	0.0018089	0.0012343	0.00075078	5.7754e-05	0.00046338	7.3313e-05	-15982339.459
474870	0.010303	0.00066305	0.0031085	0.00083164	0.0019082	0.0012368	0.00074678	5.7937e-05	0.00046722	8.1163e-05	-15982414.792
